material_id,formula,band_gap,energy_above_hull,formation_energy_per_atom
mp-11107,Ac2O3,3.522599999999999,0.0,-3.737668289999997
mp-32800,Ac2S3,2.2962,0.0,-2.4930635934375
mp-27972,AcBr3,4.103299999999999,0.0,-2.494519163125
mp-27971,AcCl3,5.0865,0.0,-2.788094297499999
mp-977360,AcF3,7.4101,0.0046541725,-4.463333296875
mp-985278,AcF3,6.0693,0.0,-4.467987469375
mp-861867,AcI3,2.5892,0.0,-1.801003203125001
mp-1184231,AcMg149,0.21680000000000002,0.011412302733333001,0.009979247549999001
mp-866056,AcN,0.0517,0.0,-1.322563138124998
mp-1102900,Ag2S,1.183999999999999,0.045494641666667,-0.072879224270832
mp-1393712,Ag2S,1.2299,0.012107586666665001,-0.10626627927083301
mp-1537871,Ag2S,0.9741999999999991,0.0035640749999990002,-0.223968058819444
mp-2018369,Ag2S,1.5694,0.00020682166666500002,-0.11816704427083301
mp-2025704,Ag2S,1.0891,0.013338436666664,-0.10503542927083401
mp-2212763,Ag2S,0.6818999999999991,0.013767898333334002,-0.104605967604167
mp-2766207,Ag2S,0.6684999999999991,0.013546961666666002,-0.104826904270834
mp-31053,Ag2S,1.3634,0.0048514483333330005,-0.11352241760416601
mp-32669,Ag2S,1.3001,0.009918613333333002,-0.10845525260416601
mp-32884,Ag2S,1.442799999999999,0.0106076,-0.10776626593749901
mp-36216,Ag2S,1.0895,0.012260691666668001,-0.10611317427083301
mp-38511,Ag2S,0.12020000000000002,0.034228008333332005,-0.08414585760416701
mp-556225,Ag2S,1.0853,2.027000000026646e-05,-0.11835359593749901
mp-610517,Ag2S,1.000699999999999,0.029025886666666,-0.089347979270833
mp-1229100,Ag2Se,0.0908,0.025343620000001003,-0.10799439052083401
mp-2022604,Ag2Se,0.191699999999999,0.012116397500001002,-0.12122161302083101
mp-568971,Ag2Se,0.9678,0.0067644991666630004,-0.126573511354168
mp-754954,Ag2Se,0.13839999999999902,0.005026770000000001,-0.128311240520834
mp-2034510,AgBr,1.244199999999999,0.000270794999998,-0.659350243333333
mp-23231,AgBr,0.730399999999999,0.0,-0.6596210383333321
mp-866291,AgBr,1.1708,0.030505370000000004,-0.6291156683333321
mp-1536202,AgCl,0.7131999999999991,0.000369929999999,-0.568070003749999
mp-22922,AgCl,0.9522,0.0,-0.568439933749999
mp-570687,AgCl,0.8720000000000001,0.01127005,-0.5571698837499991
mp-570858,AgCl,0.44379999999999903,0.028544702499999002,-0.539895231249999
mp-22894,AgI,1.3877000000000002,0.002613874999997,-0.46514602333333405
mp-22925,AgI,1.3674,0.0024065550000000003,-0.46535334333333106
mp-567809,AgI,1.5986,0.006419075000000001,-0.46134082333333204
mp-580941,AgI,1.3759000000000001,0.0,-0.46775989833333204
mp-684580,AgI,1.3143,0.0038585250000000002,-0.46390137333333203
mp-1143,Al2O3,5.853700000000001,0.0,-3.426551008
mp-1245211,Al2O3,3.779599999999999,0.049060340249999,-3.37749066775
mp-2254,Al2O3,4.8274,0.020825458749999002,-3.405725549250001
mp-32570,Al2O3,4.1416,0.039524041499999,-3.387026966500001
mp-7048,Al2O3,4.4553,0.017159517999999003,-3.409391490000001
mp-759943,Al2O3,4.3139,0.035135316874999004,-3.391415691124999
mp-776475,Al2O3,5.5116,0.035034444749999005,-3.391516563250001
mp-776490,Al2O3,5.815900000000001,0.046347576749999,-3.38020343125
mp-7188,Al2Os,0.28989999999999905,0.0,-0.670291663333335
mp-10910,Al2Ru,0.086399999999999,0.0,-0.7811005950000001
mp-1079029,Al2S3,2.4329,0.041329718,-1.195626505687499
mp-1228491,Al2S3,3.0435,0.0,-1.236956223687499
mp-2654,Al2S3,2.817,0.000773521666667,-1.236182702020833
mp-684638,Al2S3,2.0693,0.0029497319999990004,-1.234006491687499
mp-11674,Al2Se3,1.8004,0.0,-1.0088235364375011
mp-685120,Al2Se3,1.124599999999999,0.027968650749999,-0.9808548856874991
mp-1228524,Al2Te3,1.3221999999999992,0.014948752749997001,-0.544076061000001
mp-29502,Al2Te3,1.854,0.0,-0.559024813749999
mp-1190320,Al6Ge5,0.49010000000000004,0.043884120909089004,0.043884120909089004
mp-2172,AlAs,1.503699999999999,0.0,-0.627042776249999
mp-8881,AlAs,1.686999999999999,0.0074050900000000005,-0.619637686249999
mp-23288,AlBr3,4.0992,0.0,-1.518050286874999
mp-25469,AlCl3,5.263,0.0,-1.692806269374999
mp-1103295,AlF3,7.4257,0.002904201249999,-3.8628652050000003
mp-1182902,AlF3,7.4904,0.041549064999999004,-3.8242203412499993
mp-1183007,AlF3,7.4905,0.009294764999999,-3.85647464125
mp-1251148,AlF3,7.4507,0.0361508475,-3.82961855875
mp-1323,AlF3,7.4026,0.013772237656250002,-3.851997168593749
mp-468,AlF3,7.6012,0.0,-3.86576940625
mp-555026,AlF3,7.4176,0.015193115750000001,-3.850576290499999
mp-559871,AlF3,7.5230999999999995,0.010633537083333,-3.855135869166666
mp-8039,AlF3,7.420299999999999,0.009358996249999,-3.85641041
mp-30930,AlI3,3.2639,0.0,-0.9552141906250001
mp-1700,AlN,3.3056,0.020749162499999002,-1.658923009375
mp-661,AlN,4.0467,0.0,-1.6796721718749992
mp-1018100,AlSb,0.9179,0.008885222500001,-0.24409026249999802
mp-2624,AlSb,1.2255,0.0,-0.252975485
mp-1105118,As2O3,3.4494,0.021626881,-1.60472173
mp-1189365,As2O3,3.6287000000000003,0.029967056999999003,-1.596381554000002
mp-1194715,As2O3,3.620599999999999,0.002161212749999,-1.624187398250001
